"name_mapgovpoint";"addr_mapgovpoint";"gps_lat";"gps_long"
"Kantor Camat Bojong Gede";"Jl. Raya Bojonggede No.316, Bojonggede, Bojong Gede, Bogor 16320, Telp: (021) 8781078";"-6.483816";"106.799348"
"Kantor Camat Leuwiliang";"Jl. Moh Noh Nur, Leuwiliang, Bogor 16640";"-6.57677";"106.635715"
"Kantor Camat Ciampea";"Bojong Rangkas, Ciampea, Bogor 16620";"-6.554946";"106.697082"
"Kantor Camat Cibungbulang";"Jalan KH Umar Cirangkong, Desa Cemplang Kec.Cibungbulang Bogor, 16630";"-6.57449";"106.6669"
"Kantor Camat Pamijahan";"Jl.Gunung Salak Endah no.2 Desa Gunung Sari, Kecamatan Pamijahan, Kabupaten Bogor 16636, Telp/Fax: (0251) 8640509, email : kecpamijahan@bogorkab.go.id";"-6.671667";"106.663717"
"Kantor Camat Rumpin";"Jl. Prada Samlawi No.02, Rumpin, Bogor 16350";"-6.442162";"106.640901"
"Kantor Camat Jasinga";"Jalan Raya Bogor - Cigelung No.01 Bogor 16670, Telp: (0251) 8688785, email: kecjasinga@bogorkab.go.id";"-6.48351";"106.469633"
"Kantor Camat Parung Panjang";"Jl. Raya Moh Toha Nomor 1 Parungpanjang, Telp. / fax (021) 5979148, email : kecparungpanjang@bogorkab.go.id";"-6.341668";"106.571467"
"Kantor Camat Nanggung";"Jl. Raya Ace Tabrani No.32, Parakan Muncang, Nanggung, Bogor 16650";"-6.597729";"106.539593"
"Kantor Camat Cigudeg";"JL. Raya Jasinga Km. 35, Kode Pos 16660, Telp. 0251 8682011, Email : Keccigudeg@bogorkab.go.id";"-6.547643";"106.532664"
"Kantor Camat Tenjo";"Jln.Raya Jasinga-Tenjo KM.18.55 Bogor 16370, Telp/Fax: 021 59760015, Email: kectenjo@bogorkab.go.id";"-6.339321";"106.440804"
"Kantor Camat Ciawi";"Jl. Raya K.H.R Moch. Toha No. 362 Ciawi-Bogor 16720, Telp. (0251) 8240234, email: kecciawi@bogorkab.go.id";"-6.662181";"106.853163"
"Kantor Camat Cisarua";"Jl. Raya Puncak - Cianjur No.520, Leuwimalang, Cisarua, Bogor 16750, Telp .0251 8254031";"-6.680613";"106.934203"
"Kantor Camat Megamendung";"Jl. Lentan Suryanta No. 9 Sukamaju 16770, Tlp/Fax 0251-7555536, email : kecmegamendung@bogorkab.go.id";"-6.674893";"106.883359"
"Kantor Camat Caringin";"Jl. Mayjen HR. Edi Sukma KM. 17 Caringin - Bogor 16730, Telp/Fax. 0251 8241392, email : keccaringin@bogorkab.go.id";"-6.703843";"106.824883"
"Kantor Camat Cijeruk";"Jalan KH. Halimi No. 04 Desa Cipelang Kecamatan Cijeruk Kabupaten Bogor, Kode Pos 16740, Telp/Fax : (0251) 8212375";"-6.697987";"106.796579"
"Kantor Camat Ciomas";"Padusuka No.343, Pagelaran, Ciomas, Bogor 16610";"-6.602435";"106.76531"
"Kantor Camat Dramaga";"Jl.R.Soewandana No.74 Desa Dramaga, Kecamatan Dramaga, Kabupaten Bogor 16680 , Telp/Fax : 0251-8623002 / 0251-8623002, email : kecdramaga@bogorkab.go.id";"-6.575719";"106.737937"
"Kantor Camat Tamansari";"Sirnagalih, Tamansari, Bogor 16610, Telp: (0251) 8487111";"-6.644802";"106.765653"
"Kantor Camat Klapanunggal";"Jl. Raya Narogong, Kembang Kuning, Klapa Nunggal, Bogor 16710";"-6.449903";"106.935872"
"Kantor Camat Ciseeng";"email : kecciseeng@bogorkab.go.id, website : http://kecamatanciseeng.bogorkab.go.id";"-6.446257";"106.685053"
"Kantor Camat Rancabungur";"Jl. Letkol Atang Senjaya Telp. ( 0251 ) 8624001 Bogor 16310, email : kecrancabungur@bogorkab.go.id";"-6.540684";"106.709472"
"Kantor Camat Sukajaya";"Jl. Raya Sukajaya Km. 08 Telp. 0251 8682917 Kode Pos 16660, email : kecsukajaya@bogorkab.go.id";"-6.594062";"106.477977"
"Kantor Camat Tanjungsari";"Pasir Tanjung, Tanjungsari, Bogor 16840";"-6.605575";"107.149038"
"Kantor Camat Tajurhalang";"Jl. Manunggal No. 1 Tajurhalang - Bogor No. Telp. (0251) 8552610 Kode Pos. 16320";"-6.4745";"106.757258"
"Kantor Camat Cigombong";"Cigombong, Bogor 16110";"-6.743253";"106.803152"
"Kantor Camat Leuwisadeng";"Jalan Raya Bogor - Jasinga Km. 24, Telp. ( 0251 ) 8643608";"-6.565256";"106.614498"
"Kantor Camat Tenjolaya";"Jl. Raya Abdul Fatah, Tapos I, Tenjolaya, Bogor 16370";"-6.644707";"106.693678"
"Kantor Kelurahan Pondok Rajeg";"Pondok Rajeg";"-6.453345";"106.817817"
"Kantor Kelurahan Karadenan";"Karadenan";"-6.519243";"106.808286"
"Kantor Kelurahan Harapan Jaya";"Harapan Jaya";"-6.465283";"106.83686"
"Kantor Kelurahan Nanggewer";"Nanggewer";"-6.515135";"106.826349"
"Kantor Kelurahan Nanggewer Mekar";"Nanggewer Mekar";"-6.503145";"106.842813"
"Kantor Kelurahan Cibinong";"Cibinong";"-6.482145";"106.859552"
"Kantor Kelurahan Pakansari";"Pakansari";"-6.482458";"106.842748"
"Kantor Kelurahan Tengah";"Tengah";"-6.472381";"106.822867"
"Kantor Kelurahan Sukahati";"Sukahati";"-6.493212";"106.812552"
"Kantor Kelurahan Ciriung";"Ciriung";"-6.47089";"106.862133"
"Kantor Kelurahan Cirimekar";"Cirimekar";"-6.471123";"106.854701"
"Kantor Kelurahan Pabuaran";"Pabuaran";"-6.462864";"106.846667"
"Kantor Kelurahan Pabuaran Mekar";"Pabuaran Mekar";"-6.441534";"106.848379"
"Kantor Desa Wanaherang";"Wanaherang";"-6.419804";"106.943179"
"Kantor Desa Bojong Kulur";"Bojong Kulur";"-6.323155";"106.968960"
"Kantor Desa Ciangsana";"Ciangsana";"-6.368252";"106.951730"
"Kantor Desa Gunung Putri";"Gunung Putri";"-6.464206";"106.891470"
"Kantor Desa Bojong Nangka";"Bojong Nangka";"-6.434093";"106.905430"
"Kantor Desa Tlajung Udik";"Tlajung Udik";" -6.448644";"106.910488"
"Kantor Desa Cicadas";"Cicadas";"-6.433702";"106.927515"
"Kantor Desa Cikeas Udik";"Cikeas Udik";"-6.399542";"106.930907"
"Kantor Desa Nagrak";"Nagrak";" -6.387941";"106.944137"
"Kantor Desa Karanggan";"Karanggan";"-6.457972";"106.883911"
"Kantor Kelurahan Puspanegara";"Puspanegara";"-6.483861";"106.88232"
"Kantor Kelurahan Karang Asem Barat";"Karang Asem Barat";"-6.495007";"106.876486"
"Kantor Desa Puspasari";"Puspasari";"-6.474772";"106.872343"
"Kantor Desa Citeureup";"Citeureup";"-6.481509";"106.883346"
"Kantor Desa Leuwinutug";"Leuwinutug";"-6.515052";"106.863277"
"Kantor Desa Tajur";"Tajur";"-6.51823";"106.909524"
"Kantor Desa Sanja";"Sanja";"-6.50149";"106.868068"
"Kantor Desa Karang Asem Timur";"Karang Asem Timur";"-6.49444";"106.876744"
"Kantor Desa Tarikolot";"Tarikolot";"-6.49347";"106.888985"
"Kantor Desa Gunung Sari";"Gunung Sari";"-6.497084";"106.901993"
"Kantor Desa Tangkil";"Tangkil";"-6.530981";"106.879741"
"Kantor Desa Sukahati";"Sukahati";"-6.508252";"106.881113"
"Kantor Desa Hambalang";"Hambalang";"-6.54553";"106.888725"
"Kantor Desa Pasir Mukti";"Pasir Mukti";"-6.512951";"106.898929"
"Kantor Desa Gunung Geulis";"Gunung Geulis";"-6.638789";"106.874539"
"Kantor Desa Cilebut Timur";"Cilebut Timur";"-6.526457";"106.800504"
"Kantor Desa Cilebut Barat";"Cilebut Barat";"-6.531676";"106.799708"
"Kantor Desa Cibanon";"Cibanon";"-6.628639";"106.839391"
"Kantor Desa Nagrak";"Nagrak";"-6.607345";"106.849407"
"Kantor Desa Sukatani";"Sukatani";"-6.616321";"106.840372"
"Kantor Desa Sukaraja";"Sukaraja";"-6.610758";"106.836661"
"Kantor Desa Cikeas";"Cikeas";"-6.58596";"106.848884"
"Kantor Desa Pasir Jambu";"Pasir Jambu";"-6.536429";"106.814377"
"Kantor Desa Cimandala";"Cimandala";"-6.540763";"106.82344"
"Kantor Desa Cijujung";"Cijujung";"-6.542695";"106.833181"
"Kantor Desa Cadasngampar";"Cadasngampar";"-6.571291";"106.841924"
"Kantor Desa Pasirlaja";"Pasirlaja";"-6.548137";"106.827138"
"Kantor Desa Cijayanti";"Cijayanti";"-6.605021";"106.867627"
"Kantor Desa Sumur Batu";"Sumur Batu";"-6.570028";"106.876264"
"Kantor Desa Sentul";"Sentul";"-6.520156";"106.846491"
"Kantor Desa Karang Tengah";"Karang Tengah";"-6.575313";"106.900302"
"Kantor Desa Cipambuan";"Cipambuan";"-6.557791";"106.849066"
"Kantor Desa Kadumangu";"Kadumangu";"-6.544881";"106.857344"
"Kantor Desa Citaringgul";"Citaringgul";"-6.561023";"106.854312"
"Kantor Desa Babakan Madang";"Babakan Madang";"-6.563369";"106.863927"
"Kantor Desa Bojong Koneng";"Bojong Koneng";"-6.604400";"106.893879"
"Kantor Desa Sukamaju";"Sukamaju";"-6.459543";"107.057722"
"Kantor Desa Sirnagalih";"Sirnagalih";" -6.473089";"107.084361"
"Desa Singajaya";"Singajaya";"-6.471729";"107.046966"
"Desa Sukasirna";"Sukasirna";"-6.494465";"107.058386"
"Kantor Desa Sukanegara";"Sukanegara";" -6.518821";"107.047087"
"Kantor Desa Sukamanah";"Sukamanah";" -6.448664";"107.061037"
"Kantor Desa Wening Galih";"Wening Galih";" -6.461388";"107.096210"
"Kantor Desa Cibodas";"Cibodas";"-6.505906";"107.022818"
"Kantor Desa Jonggol";"Jonggol";" -6.469426";"107.066382"
"Kantor Desa Bendungan";"Bendungan";" -6.491771";"107.086536"
"Desa Singasari";"Singasari";"-6.480998";"107.013186"
"Desa Bale Kambang";"Bale Kambang";"-6.512573";"107.086142"
"Desa Sukajaya";"Sukajaya";"-6.554677";"107.013496"
"Kantor Desa Sukagalih";"Sukagalih";" -6.482740";"107.101319"
"Kantor Desa Pasirangin";"Pasirangin";" -6.385611";"106.986898"
"Kantor Desa Mekarsari";"Mekarsari";"-6.407456";"106.997074"
"Kantor Desa Mampir";"Mampir";" -6.435073";"107.001013"
"Kantor Desa Dayeuh";"Dayeuh";" -6.431366";"106.965488"
"Kantor Desa Gandoang";"Gandoang";"-6.410786";"107.009035"
"Desa Jati Sari";"Jati Sari";"-6.412676";"107.050553"
"Kantor Desa Cileungsi Kidul";"Cileungsi Kidul";" -6.406661";"106.974883"
"Kantor Desa Cipeucang";"Cipeucang";" -6.426845";"107.037511"
"Kantor Desa Situsari";"Situsari";"-6.431336";"107.026217"
"Kantor Desa Cipenjo";"Cipenjo";"-6.392974";"106.990811"
"Kantor Desa Limus Nunggal";"Limus Nunggal";"-6.373453";"106.969466"
"Kantor Desa Cileungsi";"Cileungsi";" -6.406380";"106.961223"
"Kantor Desa Karya Mekar";"Karya Mekar";"-6.540977";"107.107786"
"Kantor Desa Babakan Raden";"Babakan Raden";"-6.487871";"107.142304"
"Kantor Desa Cikutamahi";"Cikutamahi";"-6.528048";"107.15373"
"Kantor Desa Kutamekar";"Kutamekar";"-6.503823";"107.147781"
"Kantor Desa Cariu";"Cariu";"-6.505015";"107.13281"
"Kantor Desa Mekarwangi";"Mekarwangi";"-6.521589";"107.119036"
"Kantor Desa Bantar Kuning";"Bantar Kuning";"-6.556354";"107.142059"
"Kantor Desa Sukajadi";"Sukajadi";"-6.492044";"107.15566"
"Kantor Desa Tegal Panjang";"Tegal Panjang";"-6.497092";"107.117345"
"Kantor Desa Cibatu Tiga";"Cibatu Tiga";"-6.538184";"107.140114"
"Desa Wargajaya";"Wargajaya";"-6.625496";"107.013003"
"Desa Pabuaran";"Pabuaran";"-6.54721";"106.962374"
"Desa Sukadamai";"Sukadamai";"-6.554732";"107.060883"
"Desa Sukawangi";"Sukawangi";"-6.650319";"107.036894"
"Desa Cibadak";"Cibadak";"-6.580802";"106.959608"
"Desa Sukaresmi";"Sukaresmi";"-6.534633";"107.051498"
"Kantor Desa Sukamulya";"Sukamulya";" -6.577200";"107.005548"
"Kantor Desa Sukaharja";"Sukaharja";"-6.580180";"107.061982"
"Kantor Desa Sinar Jaya";"Sinar Jaya";" -6.595392";"107.022906"
"Kantor Desa Sukamakmur";"Sukamakmur";" -6.572226";"106.991220"
"Kantor Desa Parung";"Parung";"-6.41926";"106.733043"
"Kantor Desa Iwul";"Iwul";"-6.458613";"106.721941"
"Kantor Desa Bojong Sempu";"Bojong Sempu";"-6.436668";"106.70555"
"Kantor Desa Waru";"Waru";"-6.418059";"106.719165"
"Kantor Desa Cogreg";"Cogreg";"-6.429449";"106.693052"
"Kantor Desa Pamagersari";"Pamagersari";"-6.446312";"106.728417"
"Kantor Desa Warujaya";"Warujaya";"-6.434725";"106.710552"
"Kantor Desa Bojong Indah";"Bojong Indah";"-6.433628";"106.695163"
"Kantor Desa Jabon Mekar";"Jabon Mekar";"-6.457441";"106.728933"
"Kantor Desa Cidokom";"Cidokom";"-6.40003";"106.71077"
"Kantor Desa Padurenan";"Padurenan";"-6.389065";"106.709577"
"Kantor Desa Pangasinan";"Pangasinan";"-6.367223";"106.694718"
"Kantor Desa Curug";"Curug";"-6.395839";"106.719994"
"Kantor Desa Gunung Sindur";"Gunung Sindur";"-6.385563";"106.674722"
"Kantor Desa Jampang";"Jampang";"-6.401119";"106.651388"
"Kantor Desa Cibadung";"Cibadung";"-6.405554";"106.678194"
"Kantor Desa Cibinong";"Cibinong";"-6.405554";"106.678194"
"Kantor Desa Rawakalong";"Rawakalong";"-6.366671";"106.711383"
"Kantor Desa Pabuaran";"Pabuaran";"-6.389086";"106.703485"
"Kantor Kelurahan Atang Sanjaya";"Atang Sanjaya";"-6.534848";"106.761364"
"Kantor Desa Bojong";"Bojong";"-6.530928";"106.750635"
"Kantor Desa Parakan Jaya";"Parakan Jaya";"-6.519989";"106.76316"
"Kantor Desa Kemang";"Kemang";"-6.510635";"106.753778"
"Kantor Desa Pabuaran";"Pabuaran";"-6.499385";"106.735646"
"Kantor Desa Semplak Barat";"Semplak Barat";"-6.546815";"106.752374"
"Kantor Desa Jampang";"Jampang";"-6.47827";"106.729665"
"Kantor Desa Pondok Udik";"Pondok Udik";"-6.490136";"106.738852"
"Kantor Desa Tegal";"Tegal";"-6.493205";"106.715976"
"Kantor Desa Bojong Baru";"Bojong Baru";"-6.478812";"106.806744"
"Kantor Desa Cimanggis";"Cimanggis";"-6.503088";"106.775927"
"Kantor Desa Susukan";"Susukan";"-6.475456";"106.788606"
"Kantor Desa Raga Jaya";"Raga Jaya";"-6.443789";"106.774413"
"Kantor Desa Kedung Waringin";"Kedung Waringin";"-6.499242";"106.794304"
"Kantor Desa Waringin Jaya";"Waringin Jaya";"-6.505811";"106.795073"
"Kantor Desa Pabuaran";"Pabuaran";"-6.460915";"106.796572"
"Kantor Desa Rawa Panjang";"Rawa Panjang";"-6.45437";"106.806997"
"Kantor Desa Bojong Gede";"Bojong Gede";"-6.487105";"106.796029"
"Kantor Desa Leuwiliang";"Leuwiliang";" -6.570809";"106.631318"
"Kantor Desa Purasari";"Purasari";" -6.651881";"106.625570"
"Kantor Desa Karyasari";"Karyasari";" -6.639423";"106.623266"
"Desa Pabangbon";"Pabangbon";"-6.623713";"106.592723"
"Kantor Desa Karacak";"Karacak";"-6.619898";"106.641053"
"Kantor Desa Barengkok";"Barengkok";"-6.593771";"106.635320"
"Kantor Desa Leuwimekar";"Leuwimekar";" -6.579177";"106.633831"
"Kantor Desa Puraseda";"Puraseda";" -6.650915";"106.622951"
"Kantor Desa Cibeber I";"Cibeber I";" -6.572407";"106.623506"
"Desa Cibeber II";"Cibeber II";"-6.600899";"106.613746"
"Kantor Desa Karehkel";"Karehkel";" -6.554114";"106.635059"
"Kantor Desa Ciampea";"Ciampea";"-6.544168";"106.693481"
"Kantor Desa Cinangka";"Cinangka";"-6.591993";"106.702208"
"Kantor Desa Cihideung Udik";"Cihideung Udik";"-6.580504";"106.716572"
"Kantor Desa Bojong Jengkol";"Bojong Jengkol";"-6.571527";"106.707657"
"Kantor Desa Tegal Waru";"Tegal Waru";"-6.569029";"106.700581"
"Kantor Desa Cibuntu";"Cibuntu";"-6.596222";"106.685235"
"Kantor Desa Cicadas";"Cicadas";"-6.584413";"106.682944"
"Kantor Desa Cibadak";"Cibadak";"-6.560401";"106.686945"
"Kantor Desa Bojong Rangkas";"Bojong Rangkas";"-6.559282";"106.693164"
"Kantor Desa Cihideung Ilir";"Cihideung Ilir";"-6.565813";"106.720593"
"Kantor Desa Cibanteng";"Cibanteng";"-6.556605";"106.712344"
"Kantor Desa Benteng";"Benteng";"-6.545788";"106.69288"
"Kantor Desa Ciampea Udik";"Ciampea Udik";"-6.614229";"106.685231"
"Kantor Desa Situ Udik";"Situ Udik";" -6.617817";"106.652999"
"Kantor Desa Situ Ilir";"Situ Ilir";"-6.603023";"106.654061"
"Kantor Desa Cemplang";"Cemplang";" -6.576275";"106.653128"
"Kantor Desa Cibatok I";"Cibatok I";" -6.575226";"106.660850"
"Kantor Desa Ciaruteun Udik";"Ciaruteun Udik";" -6.606341";"106.673659"
"Kantor Desa Leuweung Kolot";"Leuweung Kolot";" -6.562603";"106.672038"
"Kantor Desa Cimanggu I";"Cimanggu I";" -6.563031";"106.666485"
"Desa Cimanggu II";"Cimanggu II";"-6.569018";"106.661295"
"Desa Dukuh";"Dukuh";"-6.565804";"106.652858"
"Kantor Desa Cijujung";"Cijujung";" -6.552659";"106.660273"
"Kantor Desa Ciaruteun Ilir";"Ciaruteun Ilir";"-6.537849";"106.670876"
"Desa Cibatok II";"Cibatok II";"-6.592761";"106.66731"
"Kantor Desa Suka Maju";"Suka Maju";" -6.582555";"106.655188"
"Kantor Desa Galuga";"Galuga";" -6.573544";"106.644262"
"Kantor Desa Girimulya";"Girimulya";" -6.569256";"106.673553"
"Desa Purwabakti";"Purwabakti";"-6.736362";"106.616867"
"Kantor Desa Cibunian";"Cibunian";" -6.690408";"106.639710"
"Desa Cibitung Wetan";"Cibitung Wetan";"-6.649221";"106.638602"
"Kantor Desa Gunung Menyan";"Gunung Menyan";" -6.620111";"106.672477"
"Desa Gunung Bunder 2";"Gunung Bunder 2";"-6.687938";"106.700713"
"Kantor Desa Pasarean";"Pasarean";" -6.634523";"106.657814"
"Kantor Desa Cimayang";"Cimayang";" -6.602636";"106.667365"
"Kantor Desa Pamijahan";"Pamijahan";" -6.644175";"106.651616"
"Kantor Desa Cibening";"Cibening";" -6.633060";"106.680369"
"Desa Gunung Bunder 1";"Gunung Bunder 1";"-6.648371";"106.681645"
"Desa Cibitung Kulon";"Cibitung Kulon";"-6.664404";"106.640583"
"Kantor Desa Gunung Picung";"Gunung Picung";" -6.664009";"106.666360"
"Kantor Desa Ciasihan";"Ciasihan";" -6.677664";"106.654361"
"Kantor Desa Gunung Sari";"Gunung Sari";" -6.671258";"106.663624"
"Kantor Desa Ciasmara";"Ciasmara";" -6.684865";"106.648439"
"Kantor Desa Rumpin";"Rumpin";"-6.440037";"106.640841"
"Desa Leuwibatu";"Leuwibatu";"-6.53504";"106.619868"
"Kantor Desa Cidokom";"Cidokom";"-6.515647";"106.673287"
"Desa Gobang";"Gobang";"-6.514536";"106.635286"
"Desa Cibodas";"Cibodas";"-6.489468";"106.662627"
"Kantor Desa Rabak";"Rabak";" -6.474211";"106.644563"
"Kantor Desa Kampungsawah";"Kampungsawah";" -6.457664";"106.649407"
"Kantor Desa Cipinang";"Cipinang";"-6.439135";"106.622045"
"Kantor Desa Sukasari";"Sukasari";"-6.418905";"106.642361"
"Desa Tamansari";"Tamansari";"-6.397172";"106.627443"
"Kantor Desa Kertajaya";"Kertajaya";"-6.390123";"106.612900"
"Kantor Desa Sukamulya";"Sukamulya";" -6.383305";"106.631311"
"Kantor Desa Mekarsari";"Mekarsari";"-6.378495";"106.611962"
"Desa Mekarjaya";"Mekarjaya";"-6.531931";"106.660306"
"Desa Curug";"Curug";"-6.501092";"106.42651"
"Kantor Desa Pangradin";"Pangradin";" -6.508028";"106.479423"
"Kantor Desa Kalong Sawah";"Kalong Sawah";" -6.508710";"106.495851"
"Desa Sipak";"Sipak";"-6.486902";"106.483382"
"Desa Jasinga";"Jasinga";"-6.486627";"106.449719"
"Kantor Desa Koleang";"Koleang";" -6.469439";"106.450588"
"Kantor Desa Cikopomayak";"Cikopomayak";" -6.448998";"106.461912"
"Kantor Desa Setu";"Setu";" -6.472574";"106.468143"
"Desa Barengkok";"Barengkok";"-6.430337";"106.487128"
"Desa Bagoang";"Bagoang";"-6.429262";"106.455782"
"Desa Pangaur";"Pangaur";"-6.397164";"106.461341"
"Kantor Desa Pamagersari";"Pamagersari";" -6.483600";"106.471195"
"Kantor Desa Jugala Jaya";"Jugala Jaya";" -6.531851";"106.458262"
"Desa Tegalwangi";"Tegalwangi";"-6.464756";"106.418602"
"Kantor Desa Neglasari";"Neglasari";" -6.450936";"106.443587"
"Desa Wirajaya";"Wirajaya";"-6.527059";"106.420952"
"Kantor Desa Jagabaya";"Jagabaya";" -6.394939";"106.544555"
"Kantor Desa Gorowong";"Gorowong";" -6.386430";"106.553804"
"Desa Dago";"Dago";"-6.405306";"106.584968"
"Kantor Desa Pingku";"Pingku";" -6.369553";"106.565610"
"Kantor Desa Cikuda";"Cikuda";" -6.372589";"106.586593"
"Kantor Desa Parung Panjang";"Parung Panjang";" -6.342411";"106.573388"
"Kantor Desa Lumpang";"Lumpang";" -6.361882";"106.553091"
"Kantor Desa Cibunar";"Cibunar";" -6.343880";"106.557133"
"Desa Jagabita";"Jagabita";"-6.334115";"106.529459"
"Kantor Desa Gintung Cilejet";"Gintung Cilejet";" -6.356964";"106.529832"
"Kantor Desa Kabasiran";"Kabasiran";" -6.346523";"106.575278"
"Kantor Desa Malasari";"Malasari";" -6.677733";"106.531052"
"Desa Curugbitung";"Curugbitung";"-6.629557";"106.566626"
"Kantor Desa Cisarua";"Cisarua";" -6.638027";"106.551109"
"Desa Bantarkaret";"Bantarkaret";"-6.700176";"106.565233"
"Desa Hambaro";"Hambaro";"-6.581842";"106.56404"
"Desa Kalongliud";"Kalongliud";"-6.580355";"106.556939"
"Desa Nanggung";"Nanggung";"-6.628704";"106.52451"
"Desa Parakanmuncang";"Parakanmuncang";"-6.595664";"106.533242"
"Desa Pangkaljaya";"Pangkaljaya";"-6.602766";"106.55003"
"Desa Sukaluyu";"Sukaluyu";"-6.598415";"106.566207"
"Desa Batu Tulis";"Batu Tulis";"-6.5715";"106.548861"
"Kantor Desa Suka Maju";"Suka Maju";" -6.542654";"106.515306"
"Kantor Desa Cigudeg";"Cigudeg";" -6.551823";"106.535909"
"Desa Bunar";"Bunar";"-6.530143";"106.508426"
"Kantor Desa Banyuresmi";"Banyuresmi";" -6.526753";"106.577521"
"Desa Cintamanik";"Cintamanik";"-6.491117";"106.527127"
"Desa Argapura";"Argapura";"-6.46385";"106.503288"
"Kantor Desa Bangunjaya";"Bangunjaya";" -6.457280";"106.540745"
"Kantor Desa Rengasjajar";"Rengasjajar";" -6.430311";"106.560490"
"Kantor Desa Batujajar";"Batujajar";" -6.431623";"106.580140"
"Kantor Desa Wargajaya";"Wargajaya";" -6.539694";"106.535191"
"Desa Sukaraksa";"Sukaraksa";"-6.584575";"106.526147"
"Kantor Desa Banyuwangi";"Banyuwangi";" -6.524488";"106.551813"
"Desa Banyuasih";"Banyuasih";"-6.485813";"106.592332"
"Desa Mekarjaya";"Mekarjaya";"-6.512125";"106.511187"
"Desa Tegallega";"Tegallega";"-6.462046";"106.589316"
"Desa Tapos";"Tapos";"-6.400195";"106.495667"
"Desa Ciomas";"Ciomas";"-6.419476";"106.525092"
"Desa Batok";"Batok";"-6.364653";"106.5031"
"Kantor Desa Babakan";"Babakan";" -6.355048";"106.463210"
"Kantor Desa Tenjo";"Tenjo";" -6.327510";"106.463099"
"Desa Cilaku";"Cilaku";"-6.336708";"106.474039"
"Kantor Desa Singabraja";"Singabraja";" -6.346302";"106.439475"
"Kantor Desa Singabangsa";"Singabangsa";" -6.315092";"106.467910"
"Desa Bojong";"Bojong";"-6.380903";"106.441871"
"Kantor Desa Cileungsi";"Cileungsi";"-6.708188";"106.877176"
"Desa Citapen";"Citapen";"-6.69904";"106.870856"
"Desa Cibedug";"Cibedug";"-6.711509";"106.894889"
"Desa Jambuluwuk";"Jambuluwuk";"-6.698421";"106.890328"
"Desa Banjar Sari";"Banjar Sari";"-6.682708";"106.841871"
"Desa Teluk Pinang";"Teluk Pinang";"-6.681867";"106.851666"
"Desa Banjarwaru";"Banjarwaru";"-6.669946";"106.855864"
"Kantor Desa Bendungan";"Bendungan";" -6.660452";"106.855228"
"Kantor Desa Pandan Sari";"Pandan Sari";" -6.655161";"106.858436"
"Kantor Desa Bojong Murni";"Bojong Murni";"-6.696959";"106.893326"
"Desa Banjar Wangi";"Banjar Wangi";"-6.681653";"106.859978"
"Kantor Desa Ciawi";"Ciawi";" -6.661239";"106.845828"
"Kantor Desa Bitungsari";"Bitungsari";" -6.685751";"106.842832"
"Kantor Kelurahan Cisarua";"Cisarua";"-6.680613";"106.934203"
"Kantor Desa Batulayang";"Batulayang";"-6.677742";"106.947482"
"Kantor Desa Jogjogan";"Jogjogan";"-6.663472";"106.930268"
